estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
PR,TeeJet;,GLOBAL TRATORES,TTI,70.16,TEEJET,6,2021,Sul
MG,TeeJet;,DUSIQUEIRA,TTJ60,28.1,TEEJET,4,2021,Sudeste
MG,TeeJet;,DUSIQUEIRA,AIXR-VK,40,TEEJET,5,2021,Sudeste
MG,TeeJet;,AUTO PEÇAS SILVA,TT-VP,19,TEEJET,3,2021,Sudeste
MG,TeeJet;,AUTO PEÇAS SILVA,TTJ60,23.5,TEEJET,4,2021,Sudeste
MG,TeeJet;,AUTO PEÇAS SILVA,AIXR-VK,30.6,TEEJET,5,2021,Sudeste
GO,TeeJet;,SPRAYER COM,XR-VK,41.8,TEEJET,2,2021,Centro-Oeste
GO,TeeJet;,SPRAYER COM,TXA,20.22,TEEJET,1,2021,Centro-Oeste
GO,TeeJet;,SPRAYER COM,TT-VP,18.9,TEEJET,3,2021,Centro-Oeste
GO,TeeJet;,SPRAYER COM,TTJ60,19.95,TEEJET,4,2021,Centro-Oeste
GO,TeeJet;,SPRAYER COM,AIXR-VK,54.7,TEEJET,5,2021,Centro-Oeste
GO,TeeJet;,SPRAYER COM,TTI,67.33,TEEJET,6,2021,Centro-Oeste
MG,TeeJet;,BIOTECH,XR-VK,19.35,TEEJET,2,2021,Sudeste
MG,TeeJet;,BIOTECH,TXA,25.89,TEEJET,1,2021,Sudeste
MG,TeeJet;,BIOTECH,TTJ60,25.58,TEEJET,4,2021,Sudeste
MG,TeeJet;,BIOTECH,TTI,69.63,TEEJET,6,2021,Sudeste
MG,TeeJet;,JD MAQNELSON,TT-VP,27.23,TEEJET,3,2021,Sudeste
MG,TeeJet;,JD MAQNELSON,TTJ60,32.32,TEEJET,4,2021,Sudeste
MG,TeeJet;,JD MAQNELSON,TTI,52.97,TEEJET,6,2021,Sudeste
PR,TeeJet;,VERDESUL,XR-VK,36.75,TEEJET,2,2021,Sul
PR,TeeJet;,VERDESUL,TXA,47.6,TEEJET,1,2021,Sul
PR,TeeJet;,VERDESUL,TT-VP,44.4,TEEJET,3,2021,Sul
PR,TeeJet;,VERDESUL,TTJ60,53.2,TEEJET,4,2021,Sul
PR,TeeJet;,VERDESUL,AIXR-VK,49,TEEJET,5,2021,Sul
PR,TeeJet;,VERDESUL,TTI,157.5,TEEJET,6,2021,Sul
GO,TeeJet;,SPRAYERCOM,XR-VK,41.8,TEEJET,2,2021,Centro-Oeste
GO,TeeJet;,SPRAYERCOM,TXA,22.8,TEEJET,1,2021,Centro-Oeste
GO,TeeJet;,SPRAYERCOM,TT-VP,18.9,TEEJET,3,2021,Centro-Oeste
GO,TeeJet;,SPRAYERCOM,TTJ60,19.95,TEEJET,4,2021,Centro-Oeste
