"";"estado";"marcas";"nome_da_revenda";"pontas";"price";"manufacturer";"group";"ano";"regiao"
"291";"SP";"TeeJet;Jacto;Magnojet;";"AGRIMAX";"MGA";24,01;"MAGNOJET";"1";"2022";"Sudeste"
"292";"SP";"TeeJet;Jacto;Magnojet;";"AGRIMAX";"ST";25;"MAGNOJET";"3";"2022";"Sudeste"
"293";"SP";"TeeJet;Jacto;Magnojet;";"AGRIMAX";"ST-D";28;"MAGNOJET";"4";"2022";"Sudeste"
"294";"SP";"TeeJet;Jacto;Magnojet;";"AGRIMAX";"AD-IA";35;"MAGNOJET";"5";"2022";"Sudeste"
"295";"SP";"TeeJet;Jacto;Magnojet;";"AGRIMAX";"MUG";65;"MAGNOJET";"6";"2022";"Sudeste"
"296";"MG";"TeeJet;";"SPRAYERCOM";"TXA";20,01;"TEEJET";"1";"2022";"Sudeste"
"297";"MG";"TeeJet;";"SPRAYERCOM";"XR-VK";23;"TEEJET";"2";"2022";"Sudeste"
"298";"MG";"TeeJet;";"SPRAYERCOM";"TT-VP";18,01;"TEEJET";"3";"2022";"Sudeste"
"299";"MG";"TeeJet;";"SPRAYERCOM";"TTJ60";20,01;"TEEJET";"4";"2022";"Sudeste"
"300";"MG";"TeeJet;";"SPRAYERCOM";"TTI";60;"TEEJET";"6";"2022";"Sudeste"
"301";"MG";"TeeJet;";"MAQNELSON";"TXA";23;"TEEJET";"1";"2022";"Sudeste"
"302";"MG";"TeeJet;";"MAQNELSON";"TT-VP";23;"TEEJET";"3";"2022";"Sudeste"
"303";"MG";"TeeJet;";"MAQNELSON";"TTJ60";25;"TEEJET";"4";"2022";"Sudeste"
"304";"MG";"TeeJet;";"MAQNELSON";"AIXR-VK";41;"TEEJET";"5";"2022";"Sudeste"
"305";"MG";"TeeJet;";"MAQNELSON";"TTI";49,5;"TEEJET";"6";"2022";"Sudeste"
"306";"GO";"TeeJet;";"MAQNELSON";"TXA";23;"TEEJET";"1";"2022";"Centro-Oeste"
"307";"GO";"TeeJet;";"MAQNELSON";"XR-VK";23;"TEEJET";"2";"2022";"Centro-Oeste"
"308";"GO";"TeeJet;";"MAQNELSON";"TT-VP";23;"TEEJET";"3";"2022";"Centro-Oeste"
"309";"GO";"TeeJet;";"MAQNELSON";"TTJ60";25;"TEEJET";"4";"2022";"Centro-Oeste"
"310";"GO";"TeeJet;";"MAQNELSON";"AIXR-VK";41;"TEEJET";"5";"2022";"Centro-Oeste"
"311";"GO";"TeeJet;";"MAQNELSON";"TTI";49,5;"TEEJET";"6";"2022";"Centro-Oeste"
"312";"MG";"TeeJet;";"MAQNELSON";"XR-VK";23;"TEEJET";"2";"2022";"Sudeste"
"313";"GO";"Magnojet;";"A CAMARGO";"MAG";13;"MAGNOJET";"1";"2022";"Centro-Oeste"
"314";"GO";"Magnojet;";"A CAMARGO";"MGA";19;"MAGNOJET";"1";"2022";"Centro-Oeste"
"315";"GO";"Magnojet;";"A CAMARGO";"ST";26,51;"MAGNOJET";"3";"2022";"Centro-Oeste"
"316";"GO";"Magnojet;";"A CAMARGO";"AD-IA";35;"MAGNOJET";"5";"2022";"Centro-Oeste"
"317";"MG";"Magnojet;";"UNIPARTS";"BD";15;"MAGNOJET";"2";"2022";"Sudeste"
"318";"MG";"Magnojet;";"UNIPARTS";"MGA";19;"MAGNOJET";"1";"2022";"Sudeste"
"319";"MG";"Magnojet;";"UNIPARTS";"AD-IA";39;"MAGNOJET";"5";"2022";"Sudeste"
"320";"BA";"TeeJet;Hypro;Magnojet;";"JB PULVERIZAÇÃO";"BD";18,01;"MAGNOJET";"2";"2022";"Nordeste"
"321";"BA";"TeeJet;Hypro;Magnojet;";"JB PULVERIZAÇÃO";"MAG";13;"MAGNOJET";"1";"2022";"Nordeste"
"322";"BA";"TeeJet;Hypro;Magnojet;";"JB PULVERIZAÇÃO";"MGA";20,01;"MAGNOJET";"1";"2022";"Nordeste"
"323";"BA";"TeeJet;Hypro;Magnojet;";"JB PULVERIZAÇÃO";"ST";37;"MAGNOJET";"3";"2022";"Nordeste"
"324";"BA";"TeeJet;Hypro;Magnojet;";"JB PULVERIZAÇÃO";"ST-D";40;"MAGNOJET";"4";"2022";"Nordeste"
"325";"BA";"TeeJet;Hypro;Magnojet;";"JB PULVERIZAÇÃO";"AD-IA";40;"MAGNOJET";"5";"2022";"Nordeste"
"326";"BA";"TeeJet;Hypro;Magnojet;";"JB PULVERIZAÇÃO";"MUG";90;"MAGNOJET";"6";"2022";"Nordeste"
"327";"GO";"TeeJet;Hypro;";"IGUAÇU MÁQUINAS";"TXA";23;"TEEJET";"1";"2022";"Centro-Oeste"
"328";"GO";"TeeJet;Hypro;";"IGUAÇU MÁQUINAS";"TT-VP";23;"TEEJET";"3";"2022";"Centro-Oeste"
"329";"GO";"TeeJet;Hypro;";"IGUAÇU MÁQUINAS";"TTJ60";25;"TEEJET";"4";"2022";"Centro-Oeste"
"330";"GO";"TeeJet;Hypro;";"IGUAÇU MÁQUINAS";"AIXR-VK";41;"TEEJET";"5";"2022";"Centro-Oeste"
